"Slide","Content"
"1","Title slide — Grace Omotuase, Green Africa Hub Ltd, Cool Ventures meeting"
"2","Who We Are — mission, vision, values, company details"
"3","The Problem — 4 key challenges your business solves"
"4","The Solution — Smart Kitchen Hub + 6-month pilot package"
"5","Business Model — 4 revenue streams + Hub & Spoke model"
"6","Net Zero Framework — Scope 1, 2 & 3 with strategies"
"7","Why Cool Ventures fits — their track record + your eligibility"
"8","Your 6 Asks — funding, advice, carbon, space, marketing, endorsement"
"9","30-Day Action Plan — what happens after today"
"10","Closing slide — your one-sentence ask"
